secret,question,ig
abacus,Guesser said: What is the general size of the object that you are thinking of?,0.0006294510626076999
abacus,Guesser said: What is the purpose or function of the object that you are thinking of?,0.0004631777700083717
abacus,Guesser said: What material is the object made of?,0.011257247851879981
abacus,Guesser said: How does the object help with counting and basic arithmetic operations?,0.0017007112094677979
abacus,Guesser said: I believe the object you are thinking of is an abacus.?,0.0032622016250201114
accordion,Guesser said: What does the object look like?,0.0009559356877364422
accordion,Guesser said: What is the primary function of the object?,0.004544381433321476
accordion,Guesser said: What kind of sound does the object produce?,3.699176193450171e-05
accordion,Guesser said: How does the user control the sound that the object produces?,0.0033078279227982677
accordion,Guesser said: What is the texture of the surface of the object?,3.699176193450171e-05
accordion,Guesser said: I'm going to take a guess that the object is an accordion. ?,5.296363719153874e-05
album,Guesser said: What is the general shape of the object?,0.00032637687815295635
album,Guesser said: What is the object used for?,0.00010561710000800417
album,Guesser said: What is the typical size of the object?,3.699176193450171e-05
album,Guesser said: How does the object make the music?,0.0033078279227982677
album,Guesser said: What is the object made of?,3.699176193450171e-05
album,Guesser said: What is the music stored on?,0.0005506347438561932
album,Guesser said: I guess the object is a CD case. ?,5.296363719153874e-05
album,uesser said: How is the object different from a CD case?,0.002756415033795534
album,uesser said: What does the object look like on the outside?,0.00010561710000800417
album,esser said: How does the object relate to the user of the object?,3.699176193450171e-05
album,esser said: I guess the object is a CD player. ?,5.296363719153874e-05
album,sser said: How does the object hold the CDs?,0.00010596844963473018
album,ser said: How does the user select which CD to listen to?,0.016121932287207486
album,ser said: What is on the outside of the sleeve?,3.699176193450171e-05
album,ser said: I guess the object is a CD album.?,0.0032622016250201114
altar,Guesser said: What is the general size of the object you are thinking of?,0.007047757508363617
altar,Guesser said: How is the object used by people?,0.0004631777700083717
altar,Guesser said: What material is the object made of?,0.006643803437381024
altar,Guesser said: How does the object relate to the people who use it?,0.0012155291596034346
altar,Guesser said: What is the shape of the object?,0.00013245290322672076
altar,Guesser said: How does the object relate to the people who use it in their daily lives?,0.0004631777700083717
altar,Guesser said: What is the object's significance in the culture of the people who use it?,5.296363719153874e-05
altar,Guesser said: I'm going to take a guess that the object is an altar. ?,5.296363719153874e-05
anchor,Guesser said: What is the object's size?,3.699176193450171e-05
anchor,Guesser said: How is the object used?,0.0017007112094677979
anchor,Guesser said: What is the object's shape?,0.0009559356877364422
