secret,question,ig
abacus,Guesser said: What is the general size of the object that you are thinking of?,0.00116535538734297
abacus,Guesser said: What is the purpose or function of the object that you are thinking of?,0.00040760028626607436
abacus,Guesser said: What material is the object made of?,0.03706914603928624
abacus,Guesser said: How does the object help with counting and basic arithmetic operations?,0.00023150395032445203
abacus,Guesser said: I believe the object you are thinking of is an abacus.?,0.007656594399790606
accordion,Guesser said: What does the object look like?,0.0001981230639138687
accordion,Guesser said: What is the primary function of the object?,0.001463585715310245
accordion,Guesser said: What kind of sound does the object produce?,0.04509912447232978
accordion,Guesser said: How does the user control the sound that the object produces?,0.0006823801575706057
accordion,Guesser said: What is the texture of the surface of the object?,0.0038933491225030536
accordion,Guesser said: I'm going to take a guess that the object is an accordion. ?,5.296363719153874e-05
album,Guesser said: What is the general shape of the object?,0.002939650978220243
album,Guesser said: What is the object used for?,0.038243463930342614
album,Guesser said: What is the typical size of the object?,0.00024399350164117095
album,Guesser said: How does the object make the music?,0.03039727194124353
album,Guesser said: What is the object made of?,0.004875031756984782
album,Guesser said: What is the music stored on?,0.007787010605817102
album,Guesser said: I guess the object is a CD case. ?,5.296363719153874e-05
album,uesser said: How is the object different from a CD case?,0.0001592328171113877
album,uesser said: What does the object look like on the outside?,0.005828953303080198
album,esser said: How does the object relate to the user of the object?,0.0003103894880176483
album,esser said: I guess the object is a CD player. ?,5.296363719153874e-05
album,sser said: How does the object hold the CDs?,0.0003226026416207617
album,ser said: How does the user select which CD to listen to?,0.0003309168453036193
album,ser said: What is on the outside of the sleeve?,0.0012758372727752487
album,ser said: I guess the object is a CD album.?,0.007656594399790606
altar,Guesser said: What is the general size of the object you are thinking of?,0.00016177248061666205
altar,Guesser said: How is the object used by people?,0.0026100309703913638
altar,Guesser said: What material is the object made of?,0.023720911994921323
altar,Guesser said: How does the object relate to the people who use it?,0.009065639383301516
altar,Guesser said: What is the shape of the object?,0.014564402308415936
altar,Guesser said: How does the object relate to the people who use it in their daily lives?,0.00403018962740731
altar,Guesser said: What is the object's significance in the culture of the people who use it?,0.006951743336326643
altar,Guesser said: I'm going to take a guess that the object is an altar. ?,5.296363719153874e-05
anchor,Guesser said: What is the object's size?,0.0012542259401158162
anchor,Guesser said: How is the object used?,0.00013202668543854656
anchor,Guesser said: What is the object's shape?,0.008958489562477467
